PC1,PC2,PC3,PC4,PC5
425.022163086982,-316.1418826669557,-109.1534724511712,385.03742105846754,-69.34604356138945
484.73893395481764,124.62904401420245,-73.68971150945072,-123.9465032690363,-17.97910692718138
247.2549993294244,95.99182203505454,295.6221817502269,-297.4623533932563,-61.58588495159038
424.5705049329785,-316.3362507525438,-109.24420101309364,383.4461344883564,-67.08076797592133
-245.41572600955726,-459.45324372521907,108.61641337189545,-133.82068941232797,43.404688337509725
-348.44729409997836,102.20405101294878,6.908152187561696,266.7067018677203,-244.59294707796442
-381.348697920602,-151.8952625742493,-12.219751724595298,6.017385795667237,-101.39415022074485
-327.7936442683136,36.834150208519866,-81.94181252390152,10.218543421262316,54.318413474121364
-112.49791381324272,-537.498757263783,325.37931858416675,-114.35297622980633,1.4208939931167852
-170.99604856504547,119.49320442984082,186.04598122745,-202.0496876958089,-30.61753951382595
-304.68434553935657,343.6040362728685,168.30747215338047,-5.912165210348996,-1.9037979591981729
-171.26985808595828,119.2789247691394,186.6995867805784,-202.45551641386967,-30.3927317742523
193.88123824212,158.8830751604283,-190.47846474472556,-176.35526046787612,105.87075567086913
-166.50563086766684,-23.694561255536755,-210.98847838942493,-86.89334734934474,45.9117175350214
-49.456926761574564,302.8838874563267,-245.7742417297317,-68.21102225783812,189.51138079881343
204.73773656971946,-24.133031875422073,-35.968257475078296,-133.982689699688,7.334894909616854
297.59229018816546,-277.9036733243461,164.57276558976784,-115.93095893826752,-24.82004405773857
543.5143076443064,100.80847657002164,197.76611984779547,-113.37212463013208,-169.79675179527877
-253.21296447751294,-75.08407993807735,-479.10617888388464,143.15283947690693,-5.794527669717699
484.5972487100891,123.89315750206931,-74.09320352068757,-123.7373758931656,-15.733366870770972
483.88687096259235,123.6137803845906,-74.72456347851941,-125.26222688335251,-15.203789264694283
59.612708769635155,79.81054767488514,200.65098807945202,396.41331302097,492.5645105900125
-349.29426604226035,-240.26659120765572,-228.4598245516921,71.8500406181628,5.703753089166135
-247.7070209866952,-317.7565483128845,58.627198186106114,-55.15811603319364,-25.307511661449315
-367.3005622536744,330.56234827953,139.48411988342662,116.3637624922819,2.0665254043849144
-353.47810269938776,577.6733771262469,-112.83813564585243,299.6968715375141,-66.55857252091458
